graph_id,rel_name,expected,predicted
0,r13,e9,e24
0,r3,e15,e15
0,r9,e17,e14
0,r2,e30,e30
0,r7,e7,e2
0,r16,e34,e22
0,r18,e13,e26
0,r6,e28,e32
0,r12,e6,e6
0,r0,e4,e4
0,r19,e21,e21
0,r15,e38,e37
0,r8,e8,e11
0,r1,e25,e25
0,r17,e5,e5
0,r4,e16,e23
0,r10,e39,e39
0,r14,e12,e33
1,r4,e7,e7
1,r2,e9,e15
1,r14,e18,e18
1,r1,e25,e25
1,r16,e12,e12
1,r5,e22,e22
1,r11,e37,e37
1,r15,e8,e30
1,r19,e10,e10
1,r7,e28,e7
1,r18,e35,e13
1,r13,e27,e27
1,r10,e19,e19
1,r3,e2,e2
1,r17,e1,e24
1,r8,e11,e5
1,r9,e16,e20
1,r6,e38,e38
2,r4,e3,e3
2,r1,e13,e13
2,r13,e39,e28
2,r10,e21,e21
2,r2,e9,e9
2,r17,e34,e25
2,r8,e14,e12
2,r16,e23,e23
2,r3,e17,e35
2,r5,e7,e10
2,r6,e18,e18
2,r12,e5,e5
2,r19,e37,e37
2,r11,e29,e29
2,r15,e26,e26
2,r7,e20,e20
3,r9,e27,e31
3,r7,e8,e11
3,r0,e13,e13
3,r13,e17,e29
3,r11,e15,e15
3,r16,e7,e7
3,r17,e36,e6
3,r19,e9,e30
3,r10,e21,e21
3,r5,e26,e33
3,r14,e39,e39
3,r2,e34,e34
3,r15,e3,e3
3,r6,e25,e25
3,r4,e28,e28
3,r12,e5,e5
4,r16,e17,e17
4,r11,e4,e4
4,r2,e1,e29
4,r15,e15,e15
4,r14,e5,e5
4,r8,e22,e20
4,r19,e30,e30
4,r1,e2,e33
4,r13,e16,e3
4,r17,e34,e12
4,r4,e23,e14
4,r6,e18,e39
4,r5,e35,e35
4,r12,e9,e9
4,r0,e36,e36
4,r18,e32,e32
4,r9,e21,e21
4,r3,e38,e38
4,r10,e25,e25
5,r7,e17,e17
5,r15,e24,e31
5,r0,e7,e7
5,r19,e5,e5
5,r17,e15,e37
5,r2,e8,e29
5,r10,e27,e27
5,r3,e35,e33
5,r14,e22,e39
5,r12,e2,e2
5,r8,e26,e26
5,r6,e16,e16
5,r18,e28,e21
5,r13,e23,e23
5,r9,e3,e3
5,r4,e13,e13
5,r16,e25,e25
5,r1,e18,e18
6,r6,e35,e1
6,r2,e12,e12
6,r7,e37,e38
6,r19,e39,e10
6,r11,e3,e3
6,r0,e19,e19
6,r13,e8,e5
6,r16,e6,e6
6,r8,e22,e18
6,r9,e9,e23
6,r14,e16,e20
6,r5,e11,e11
6,r18,e30,e30
6,r12,e26,e26
6,r17,e36,e15
6,r1,e4,e4
6,r15,e29,e29
6,r10,e34,e34
7,r2,e28,e28
7,r3,e15,e15
7,r6,e20,e20
7,r14,e4,e38
7,r17,e39,e24
7,r12,e7,e7
7,r8,e33,e33
7,r16,e9,e30
7,r9,e18,e18
7,r18,e34,e34
7,r10,e17,e17
7,r11,e21,e21
7,r13,e16,e16
7,r15,e35,e8
7,r1,e29,e29
7,r19,e32,e32
8,r9,e32,e32
8,r12,e28,e28
8,r15,e10,e34
8,r16,e4,e9
8,r1,e16,e16
8,r18,e2,e2
8,r6,e22,e22
8,r2,e39,e20
8,r17,e29,e29
8,r8,e37,e38
8,r13,e31,e25
8,r5,e15,e15
8,r4,e3,e3
8,r10,e19,e36
8,r7,e11,e11
8,r3,e26,e24
8,r19,e35,e35
9,r0,e28,e28
9,r17,e29,e22
9,r6,e12,e33
9,r13,e39,e39
9,r11,e8,e8
9,r14,e34,e34
9,r4,e4,e21
9,r7,e37,e37
9,r9,e2,e2
9,r15,e26,e26
9,r12,e35,e35
9,r16,e18,e18
