graph_id,rel_name,expected,predicted
0,r13,e9,2029-07-13
0,r3,e15,e17
0,r9,e17,e17
0,r2,e30,e17
0,r7,e7,e2
0,r16,e34,e17
0,r18,e13,e17
0,r6,e28,e17
0,r12,e6,e17
0,r0,e4,e17
0,r19,e21,e17
0,r15,e38,e14
0,r8,e8,e8
0,r1,e25,e17
0,r17,e5,e11
0,r4,e16,e17
0,r10,e39,e17
0,r14,e12,e17
1,r4,e7,e7
1,r2,e9,e7
1,r14,e18,e22
1,r1,e25,e7
1,r16,e12,2028-06-09
1,r5,e22,e22
1,r11,e37,e22
1,r15,e8,e16
1,r19,e10,e22
1,r7,e28,10-05
1,r18,e35,e22
1,r13,e27,e27
1,r10,e19,e22
1,r3,e2,e7
1,r17,e1,e22
1,r8,e11,e22
1,r9,e16,e16
1,r6,e38,e22
2,r4,e3,e36
2,r1,e13,e7
2,r13,e39,e14
2,r10,e21,e21
2,r2,e9,e7
2,r17,e34,e7
2,r8,e14,e7
2,r16,e23,e23
2,r3,e17,e7
2,r5,e7,e7
2,r6,e18,e18
2,r12,e5,e12
2,r19,e37,1991-03-12 to 2002-01-18
2,r11,e29,e7
2,r15,e26,2029-04-19
2,r7,e20,e7
3,r9,e27,e28
3,r7,e8,e8
3,r0,e13,e13
3,r13,e17,e3
3,r11,e15,e28
3,r16,e7,e3
3,r17,e36,e28
3,r19,e9,e28
3,r10,e21,e21
3,r5,e26,e26
3,r14,e39,entity named e3
3,r2,e34,entity named e28
3,r15,e3,e3
3,r6,e25,e6
3,r4,e28,e22
3,r12,e5,1998-05-22
4,r16,e17,e14
4,r11,e4,e14
4,r2,e1,e23
4,r15,e15,e14
4,r14,e5,2017-12-22 to 2019-12-12
4,r8,e22,e20
4,r19,e30,e23
4,r1,e2,e23
4,r13,e16,e23
4,r17,e34,e23
4,r4,e23,e23
4,r6,e18,2026-01-22
4,r5,e35,e23
4,r12,e9,e14
4,r0,e36,e23
4,r18,e32,e23
4,r9,e21,e21
4,r3,e38,e23
4,r10,e25,e23
