graph_id,rel_name,expected,predicted
0,r13,e9,e9
0,r3,e15,e3
0,r9,e17,e34
0,r2,e30,e4
0,r7,e7,2027-11-08
0,r16,e34,e34
0,r18,e13,e34
0,r6,e28,e9
0,r12,e6,e9
0,r0,e4,e4
0,r19,e21,e38
0,r15,e38,e3
0,r8,e8,e9
0,r1,e25,e4
0,r17,e5,e34
0,r4,e16,2024-09-05
0,r10,e39,e38
0,r14,e12,e9
1,r4,e7,e9
1,r2,e9,e9
1,r14,e18,e8
1,r1,e25,e9
1,r16,e12,e8
1,r5,e22,e6
1,r11,e37,e8
1,r15,e8,e8
1,r19,e10,entity named e10
1,r7,e28,e8
1,r18,e35,e13
1,r13,e27,2008-12-25 to 2010-08-01
1,r10,e19,e19
1,r3,e2,e8
1,r17,e1,e8
1,r8,e11,e8
1,r9,e16,2029-06-29
1,r6,e38,e8
2,r4,e3,e35
2,r1,e13,e35
2,r13,e39,e14
2,r10,e21,e21
2,r2,e9,e35
2,r17,e34,e34
2,r8,e14,e14
2,r16,e23,e14
2,r3,e17,e35
2,r5,e7,e24
2,r6,e18,e35
2,r12,e5,e14
2,r19,e37,e14
2,r11,e29,e14
2,r15,e26,e14
2,r7,e20,e14
3,r9,e27,2029-02-26
3,r7,e8,e20
3,r0,e13,e13
3,r13,e17,e17
3,r11,e15,e38
3,r16,e7,1996-09-28 to 2012-02-09
3,r17,e36,e36
3,r19,e9,e30 in time interval
3,r10,e21,e16
3,r5,e26,e33
3,r14,e39,e9
3,r2,e34,e34
3,r15,e3,e3
3,r6,e25,e4
3,r4,e28,e34
3,r12,e5,1995-05-10 to 1998-05-22
4,r16,e17,Relation r17
4,r11,e4,e34
4,r2,e1,e30
4,r15,e15,e15
4,r14,e5,e16
4,r8,e22,e22
4,r19,e30,e30
4,r1,e2,e2
4,r13,e16,e16
4,r17,e34,e34
4,r4,e23,e23
4,r6,e18,2019-12-12
4,r5,e35,e23
4,r12,e9,e16
4,r0,e36,e2
4,r18,e32,e34
4,r9,e21,e2
4,r3,e38,Relation r17
4,r10,e25,e16
5,r7,e17,e21
5,r15,e24,e34
5,r0,e7,e11
5,r19,e5,e21
5,r17,e15,e15
5,r2,e8,e21
5,r10,e27,e6
5,r3,e35,e33
5,r14,e22,e38
5,r12,e2,e6
5,r8,e26,e21
5,r6,e16,e18
5,r18,e28,2001-01-01 to 2020-08-12
5,r13,e23,e13
5,r9,e3,e13
5,r4,e13,e13
5,r16,e25,e25
5,r1,e18,e18
6,r6,e35,e35
6,r2,e12,e22
6,r7,e37,e22
6,r19,e39,e30
6,r11,e3,e22
6,r0,e19,e22
6,r13,e8,e16
6,r16,e6,e36
6,r8,e22,e22
6,r9,e9,e9
6,r14,e16,e16
6,r5,e11,e22
6,r18,e30,e30
6,r12,e26,e22
6,r17,e36,e36
6,r1,e4,e22
6,r15,e29,e16
6,r10,e34,e22
7,r2,e28,01
7,r3,e15,01
7,r6,e20,01
7,r14,e4,e38
7,r17,e39,e30
7,r12,e7,01
7,r8,e33,01
7,r16,e9,e30
7,r9,e18,01
7,r18,e34,e34
7,r10,e17,e17
7,r11,e21,01
7,r13,e16,e16
7,r15,e35,e35
7,r1,e29,e5
7,r19,e32,01
8,r9,e32,e28
8,r12,e28,e28
8,r15,e10,e10
8,r16,e4,e10
8,r1,e16,e13
8,r18,e2,e28
8,r6,e22,2004-01-19 to 2004-09-04
8,r2,e39,e20
8,r17,e29,e4
8,r8,e37,e37
8,r13,e31,e28
8,r5,e15,e15
8,r4,e3,e4
8,r10,e19,e10 in time interval
8,r7,e11,2027-08-30
8,r3,e26,e28
8,r19,e35,e28
9,r0,e28,e1
9,r17,e29,e18
9,r6,e12,e12
9,r13,e39,e34
9,r11,e8,e34
9,r14,e34,e34
9,r4,e4,e4
9,r7,e37,e7
9,r9,e2,2029-01-07
9,r15,e26,e34
9,r12,e35,e12
9,r16,e18,e18
9,r2,e23,e28
9,r1,e30,2029-09-14
9,r18,e31,e18
9,r3,e10,e34
9,r19,e6,e18
9,r10,e27,e27
9,r5,e36,e36
10,r16,e3,e6
10,r8,e35,e26
10,r5,e2,e1
10,r14,e12,e17
10,r3,e18,e32
10,r4,e25,1999-04-19 to 2013-01-14
10,r18,e22,e22
10,r13,e7,e14
10,r10,e13,e39
10,r2,e20,e20
10,r19,e10,e32
10,r1,e34,e28
10,r0,e8,e33
10,r17,e19,e6
10,r7,e23,e23
10,r6,e11,e1
11,r8,e14,e33
11,r17,e38,e33
11,r10,e39,e39
11,r7,e1,e33
11,r19,e6,e6
11,r13,e2,e33
11,r5,e9,e33
11,r12,e29,e29
11,r4,e19,e33
11,r18,e21,e3
11,r14,e11,e33
11,r9,e8,2029-03-28
11,r2,e24,e33
11,r6,e30,2018-05-14
11,r0,e23,e23
11,r1,e12,e7
11,r16,e20,e33
12,r1,e39,e16
12,r13,e31,e2
12,r12,e18,e13
12,r6,e26,e16
12,r8,e36,2015-03-14 to 2020-12-08
12,r9,e14,Relation r14
12,r11,e8,e8
12,r3,e17,e17
12,r4,e28,e29
12,r19,e1,e23
12,r10,e5,e13
12,r15,e13,e13
12,r14,e2,e2
12,r7,e30,2027-04-16
12,r2,e20,Relation r14
12,r16,e37,e13
12,r0,e21,e21
12,r18,e23,e23
13,r13,e34,e34
13,r1,e14,e14
13,r4,e5,e32
13,r15,e26,e4
13,r12,e6,e2
13,r6,e13,e13
13,r3,e29,e32
13,r0,e23,e2
13,r8,e19,e2
13,r14,e2,e34
13,r2,e11,e32
13,r9,e15,e34
13,r10,e38,e38
13,r7,e36,2027-10-24
13,r16,e17,e17
13,r18,e21,e21
13,r11,e1,e34
14,r3,e22,e22
14,r15,e4,e4
14,r14,e31,e31
14,r7,e6,2027-07-28
14,r1,e19,e14
14,r18,e32,e4
14,r17,e3,e4
14,r0,e2,e2
14,r6,e35,e35
14,r12,e17,e12
14,r16,e33,e4
14,r10,e1,e1
14,r2,e5,e1
14,r4,e38,e4
14,r13,e12,e31
14,r19,e20,e4
14,r8,e18,e18
14,r9,e8,e1
15,r17,e4,e13
15,r12,e15,e15
15,r10,e39,e28
15,r13,e35,e15
15,r19,e20,e27 in time interval
15,r6,e22,entity named e27 in time interval
15,r9,e27,entity named e27 in time interval
15,r15,e2,e30
15,r16,e17,e17
15,r0,e37,e37 in time interval
15,r5,e1,entity named e27 in time interval
15,r18,e23,e23
15,r2,e25,e27 in time interval
15,r7,e19,e27 in time interval
15,r8,e8,Relation r10
15,r1,e32,e27 in time interval
15,r3,e12,entity named e27 in time interval
15,r14,e38,e15
15,r4,e7,e27
15,r11,e33,e15
16,r4,e19,e19
16,r12,e7,e12
16,r16,e33,e30
16,r5,e15,e35
16,r3,e26,2019-11-05
16,r2,e16,e18
16,r6,e10,e18
16,r1,e20,e27 in time interval
16,r9,e8,e18
16,r7,e13,e34
16,r17,e14,e22
16,r8,e6,2028-07-14
16,r11,e3,e34
16,r10,e2,e12
16,r14,e17,e17
16,r13,e18,e28
16,r15,e32,e32
16,r18,e21,e21
17,r12,e27,e12
17,r9,e6,e11
17,r15,e12,e12
17,r19,e24,e12
17,r6,e31,e12
17,r2,e16,e12
17,r18,e23,e12
17,r4,e32,e32
17,r5,e13,e12
17,r8,e11,e11
17,r0,e10,e12
17,r17,e35,e12
17,r10,e33,e33
17,r3,e36,e12
17,r13,e5,e12
17,r14,e29,e12
17,r7,e9,e12
18,r8,e24,2017-11-27
18,r3,e10,e14
18,r1,e16,e16
18,r18,e20,e27
18,r10,e37,e11
18,r17,e25,e35
18,r13,e38,e3
18,r9,e15,2017-11-27
18,r16,e22,2017-11-27
18,r14,e36,e36
18,r15,e30,e33
18,r11,e17,e16
18,r4,e26,e14
18,r0,e34,e34 in time interval
18,r2,e39,e2
18,r19,e1,e19
19,r7,e6,2029-11-12
19,r6,e13,e5
19,r19,e38,2029-11-12
19,r11,e1,e1
19,r8,e33,e5
19,r9,e7,2029-11-12
19,r10,e30,e14
19,r3,e4,e3
19,r4,e20,2029-11-12
19,r12,e2,e1
19,r17,e35,2029-11-12
19,r16,e9,2029-11-12
19,r5,e5,e5
19,r2,e28,e3
19,r13,e25,2029-11-12
19,r1,e39,2029-11-12
19,r15,e15,2029-11-12
20,r9,e7,2029-08-08
20,r15,e1,e16
20,r11,e28,e28
20,r7,e3,entity named e28
20,r4,e14,e28
20,r5,e32,e32
20,r19,e13,entity named e13
20,r13,e31,e31
20,r1,e19,e19
20,r10,e34,e28
20,r2,e5,Relation r12
20,r6,e8,entity named e28
20,r12,e15,e15
20,r16,e38,2001-04-13 to 2005-03-23
20,r17,e17,e17
20,r8,e25,e28
20,r0,e11,e11
21,r2,e27,e27
21,r16,e39,e24
21,r1,e7,e11
21,r6,e25,1994-02-21
21,r8,e28,2028-11-07
21,r5,e38,e20
21,r4,e3,e33
21,r19,e26,1990-11-04 to 2001-12-06
21,r17,e37,e24
21,r11,e19,e22
21,r15,e30,e30
21,r10,e18,e34
21,r18,e12,e24
21,r13,e9,e16
21,r3,e33,e33
21,r12,e35,1990-11-04 to 2001-12-06
