graph_id,rel_name,expected,predicted
0,r13,e9,e24
0,r3,e15,e14
0,r9,e17,e14
0,r2,e30,e14
0,r7,e7,e14
0,r16,e34,e37
0,r18,e13,e37
0,r6,e28,e14
0,r12,e6,e24
0,r0,e4,e14
0,r19,e21,e14
0,r15,e38,e37
0,r8,e8,e14
0,r1,e25,e14
0,r17,e5,e37
0,r4,e16,e14
0,r10,e39,e14
0,r14,e12,e24
1,r4,e7,e15
1,r2,e9,e13
1,r14,e18,e30
1,r1,e25,e13
1,r16,e12,e30
1,r5,e22,e6
1,r11,e37,e37
1,r15,e8,e30
1,r19,e10,2026-05-04
1,r7,e28,2027-10-05
1,r18,e35,e13
1,r13,e27,2008-12-25 to 2010-08-01
1,r10,e19,e19
1,r3,e2,e13
1,r17,e1,e24
1,r8,e11,e5
1,r9,e16,e20
1,r6,e38,e6
2,r4,e3,e3
2,r1,e13,e13
2,r13,e39,e28
2,r10,e21,e21
2,r2,e9,2013-08-13
2,r17,e34,e11
2,r8,e14,e10
2,r16,e23,e11
2,r3,e17,2013-08-13
2,r5,e7,e10
2,r6,e18,2026-04-26
2,r12,e5,e10
2,r19,e37,e19
2,r11,e29,e11
2,r15,e26,e33
2,r7,e20,2028-03-14
3,r9,e27,e20
3,r7,e8,e11
3,r0,e13,e13
3,r13,e17,e29
3,r11,e15,1992-02-26 to 1994-02-24
3,r16,e7,e1
3,r17,e36,e1
3,r19,e9,e30
3,r10,e21,e21
3,r5,e26,e33
3,r14,e39,1993-05-14 to 2007-01-21
3,r2,e34,e14
3,r15,e3,e21
3,r6,e25,15
3,r4,e28,e28
3,r12,e5,e31
4,r16,e17,e12
4,r11,e4,2022-05-15
4,r2,e1,2022-05-15
4,r15,e15,e3
4,r14,e5,e3
4,r8,e22,e20
4,r19,e30,e12
4,r1,e2,2022-05-15
4,r13,e16,e3
4,r17,e34,e12
4,r4,e23,2022-05-15
4,r6,e18,2022-05-15
4,r5,e35,2022-05-15
4,r12,e9,e12
4,r0,e36,2022-05-15
4,r18,e32,e12
4,r9,e21,2022-05-15
4,r3,e38,2022-05-15
4,r10,e25,2022-05-15
5,r7,e17,e18
5,r15,e24,e31
5,r0,e7,e7
5,r19,e5,22
5,r17,e15,e31
5,r2,e8,e8
5,r10,e27,e27
5,r3,e35,e33
5,r14,e22,e31
5,r12,e2,e2
5,r8,e26,2028-11-29
5,r6,e16,02-17
5,r18,e28,entity named e28
5,r13,e23,e23
5,r9,e3,e18
5,r4,e13,02-17
5,r16,e25,e31
