graph_id,rel_name,expected,predicted
0,r13,e9,28
0,r3,e15,e15
0,r9,e17,e17
0,r2,e30,e30
0,r7,e7,e7
0,r16,e34,e13
0,r18,e13,e13
0,r6,e28,e28
0,r12,e6,e13
0,r0,e4,28
0,r19,e21,e13
0,r15,e38,e30
0,r8,e8,e8
0,r1,e25,e30
0,r17,e5,e13
0,r4,e16,e15
0,r10,e39,e13
0,r14,e12,e13
1,r4,e7,e7
1,r2,e9,2026-05-04
1,r14,e18,2026-05-04
1,r1,e25,2026-05-04
1,r16,e12,2027-07-06 to 2028-06-09
1,r5,e22,e22
1,r11,e37,2026-05-04
1,r15,e8,2026-05-04
1,r19,e10,2026-05-04
1,r7,e28,2026-05-04
1,r18,e35,2026-05-04
1,r13,e27,2026-05-04
1,r10,e19,2026-05-04
1,r3,e2,e2
1,r17,e1,2026-05-04
1,r8,e11,2026-05-04
1,r9,e16,2029-06-29
1,r6,e38,2026-05-04
2,r4,e3,e3
2,r1,e13,e9
2,r13,e39,e20
2,r10,e21,e21
2,r2,e9,e9
2,r17,e34,e9
2,r8,e14,e14
2,r16,e23,e14
2,r3,e17,e17
2,r5,e7,e7
2,r6,e18,2026-04-26
2,r12,e5,e7
2,r19,e37,e9
2,r11,e29,e7
2,r15,e26,e14
2,r7,e20,e20
3,r9,e27,2029-02-26
3,r7,e8,e8
3,r0,e13,e9
3,r13,e17,e9
3,r11,e15,e9
3,r16,e7,e9
3,r17,e36,e9
3,r19,e9,e9
3,r10,e21,e9
3,r5,e26,e26
3,r14,e39,e9
3,r2,e34,e9
3,r15,e3,e9
3,r6,e25,e26
3,r4,e28,e28
3,r12,e5,e9
4,r16,e17,e34
4,r11,e4,15
4,r2,e1,e1
4,r15,e15,e15
4,r14,e5,15
4,r8,e22,e22
4,r19,e30,e30
4,r1,e2,e1
4,r13,e16,15
4,r17,e34,e34
4,r4,e23,e23
4,r6,e18,e18
4,r5,e35,e35
4,r12,e9,15
4,r0,e36,15
4,r18,e32,e32
4,r9,e21,e21
4,r3,e38,e1
4,r10,e25,15
5,r7,e17,22
5,r15,e24,e16
5,r0,e7,22
5,r19,e5,e28
5,r17,e15,e28
5,r2,e8,e8
5,r10,e27,22
5,r3,e35,e8
5,r14,e22,e28
5,r12,e2,22
5,r8,e26,e8
5,r6,e16,2026-07-10
5,r18,e28,e28
5,r13,e23,e23
5,r9,e3,e3
5,r4,e13,e35
5,r16,e25,e28
5,r1,e18,e8
6,r6,e35,e35
6,r2,e12,e12
6,r7,e37,e37
6,r19,e39,e39
6,r11,e3,e36
6,r0,e19,Relation r17
6,r13,e8,e12
6,r16,e6,e36
6,r8,e22,e22
6,r9,e9,e9
6,r14,e16,e36
6,r5,e11,e11
6,r18,e30,e36
6,r12,e26,e39
6,r17,e36,e36
6,r1,e4,Relation r17
6,r15,e29,e36
6,r10,e34,e36
7,r2,e28,e28
7,r3,e15,e28
7,r6,e20,2026-02-05
7,r14,e4,2023-08-13
7,r17,e39,2023-08-13
7,r12,e7,2023-08-13
7,r8,e33,e33
7,r16,e9,2023-08-13
7,r9,e18,e18
7,r18,e34,e34
7,r10,e17,2023-08-13
7,r11,e21,2023-08-13
7,r13,e16,2023-08-13
7,r15,e35,e34
7,r1,e29,2023-08-13
7,r19,e32,e34
8,r9,e32,e32
8,r12,e28,e28
8,r15,e10,e3
8,r16,e4,e3
8,r1,e16,e39
8,r18,e2,e39
8,r6,e22,2026-03-06
8,r2,e39,e39
8,r17,e29,e39
8,r8,e37,10-15
8,r13,e31,e15
8,r5,e15,e3
8,r4,e3,e3
8,r10,e19,e39
8,r7,e11,e11
8,r3,e26,e3
8,r19,e35,e39
9,r0,e28,04-29
9,r17,e29,e29
9,r6,e12,e6
9,r13,e39,04-29
9,r11,e8,04-29
9,r14,e34,04-29
9,r4,e4,e4
9,r7,e37,e37
9,r9,e2,e2
9,r15,e26,04-29
9,r12,e35,1997-07-12 to 2005-09-14
9,r16,e18,04-29
9,r2,e23,e23
9,r1,e30,04-29
9,r18,e31,e29
9,r3,e10,e23
9,r19,e6,e6
9,r10,e27,2029-01-28
9,r5,e36,04-29
10,r16,e3,e20
10,r8,e35,e35
10,r5,e2,e25
10,r14,e12,e20
10,r3,e18,e20
10,r4,e25,e25
10,r18,e22,e20
10,r13,e7,e20
10,r10,e13,e20
10,r2,e20,e20
10,r19,e10,e20
10,r1,e34,e20
10,r0,e8,e20
10,r17,e19,e20
10,r7,e23,e23
10,r6,e11,e20
11,r8,e14,2022-06-07
11,r17,e38,2022-06-07
11,r10,e39,2022-06-07
11,r7,e1,2022-06-07
11,r19,e6,2022-06-07
11,r13,e2,2029-12-29
11,r5,e9,e9
11,r12,e29,2022-06-07
11,r4,e19,e19
11,r18,e21,2022-06-07
11,r14,e11,2029-12-29
11,r9,e8,2022-06-07
11,r2,e24,2022-06-07
11,r6,e30,2022-06-07
11,r0,e23,2022-06-07
11,r1,e12,2022-06-07
11,r16,e20,2022-06-07
12,r1,e39,e20
12,r13,e31,e14
12,r12,e18,14
12,r6,e26,2028-04-19
12,r8,e36,e36
12,r9,e14,e20
12,r11,e8,e23
12,r3,e17,e20
12,r4,e28,e17
12,r19,e1,e23
12,r10,e5,14
12,r15,e13,e23
12,r14,e2,e14
12,r7,e30,2027-01-02
12,r2,e20,e20
12,r16,e37,e23
12,r0,e21,14
12,r18,e23,e23
13,r13,e34,e13
13,r1,e14,e21
13,r4,e5,e29
13,r15,e26,Relation r9
13,r12,e6,e21
13,r6,e13,12-27
13,r3,e29,e29
13,r0,e23,e21
13,r8,e19,e15
13,r14,e2,e21
13,r2,e11,e21
13,r9,e15,e15
13,r10,e38,e21
13,r7,e36,e36
13,r16,e17,e21
13,r18,e21,e21
13,r11,e1,e21
14,r3,e22,e22
14,r15,e4,e4
14,r14,e31,2024-05-06
14,r7,e6,e6
14,r1,e19,2024-05-06
14,r18,e32,e32
14,r17,e3,2024-05-06
14,r0,e2,2024-05-06
14,r6,e35,e35
14,r12,e17,2024-05-06
14,r16,e33,2024-05-06
14,r10,e1,2024-05-06
14,r2,e5,e5
14,r4,e38,2024-05-06
14,r13,e12,e12
14,r19,e20,e20
14,r8,e18,2024-05-06
14,r9,e8,2024-05-06
15,r17,e4,e4
15,r12,e15,e12
15,r10,e39,e39
15,r13,e35,e4
15,r19,e20,e20
15,r6,e22,e22
15,r9,e27,e20
15,r15,e2,e4
15,r16,e17,e4
