graph_id,rel_name,expected,predicted
0,r13,e9,e9
0,r3,e15,e14
0,r9,e17,e14
0,r2,e30,e14
0,r7,e7,e2
0,r16,e34,e14
0,r18,e13,e14
0,r6,e28,e14
0,r12,e6,e14
0,r0,e4,e14
0,r19,e21,e14
0,r15,e38,e14
0,r8,e8,e8
0,r1,e25,e14
0,r17,e5,
0,r4,e16,e14
0,r10,e39,e14
0,r14,e12,e11
1,r4,e7,e7
1,r2,e9,e7
1,r14,e18,e22
1,r1,e25,e4
1,r16,e12,e20
1,r5,e22,e22
1,r11,e37,
1,r15,e8,e20
1,r19,e10,e22
1,r7,e28,
1,r18,e35,
1,r13,e27,e13
1,r10,e19,e22
1,r3,e2,e7
1,r17,e1,e22
1,r8,e11,e11
1,r9,e16,e20
1,r6,e38,
2,r4,e3,e8
2,r1,e13,e8
2,r13,e39,e14
2,r10,e21,e21
2,r2,e9,e8
2,r17,e34,e8
2,r8,e14,
2,r16,e23,e23
2,r3,e17,e8
2,r5,e7,e7
2,r6,e18,e18
2,r12,e5,e12
2,r19,e37,
2,r11,e29,e7
2,r15,e26,e8
2,r7,e20,e7
3,r9,e27,e26
3,r7,e8,
3,r0,e13,e13
3,r13,e17,e3
3,r11,e15,
3,r16,e7,e3
3,r17,e36,e18
3,r19,e9,e26
3,r10,e21,e21
3,r5,e26,e26
3,r14,e39,e3
3,r2,e34,e18
3,r15,e3,e3
3,r6,e25,e6
3,r4,e28,e18
3,r12,e5,e12
4,r16,e17,e24
4,r11,e4,e24
4,r2,e1,e24
4,r15,e15,
4,r14,e5,
4,r8,e22,e20
4,r19,e30,e24
4,r1,e2,e24
4,r13,e16,
4,r17,e34,e24
4,r4,e23,e24
4,r6,e18,
4,r5,e35,e35
4,r12,e9,
4,r0,e36,e24
4,r18,e32,e18
4,r9,e21,e21
4,r3,e38,e24
4,r10,e25,e24
5,r7,e17,e7
5,r15,e24,e34
5,r0,e7,e7
5,r19,e5,e20
5,r17,e15,e28
5,r2,e8,e20
5,r10,e27,e6
5,r3,e35,e20
5,r14,e22,e38
5,r12,e2,e2
5,r8,e26,
5,r6,e16,
5,r18,e28,e21
5,r13,e23,
5,r9,e3,
5,r4,e13,
5,r16,e25,
5,r1,e18,e18
6,r6,e35,e35
6,r2,e12,e11
6,r7,e37,e37
6,r19,e39,e11
6,r11,e3,
6,r0,e19,e11
6,r13,e8,e8
6,r16,e6,e18
6,r8,e22,e18
6,r9,e9,e23
6,r14,e16,e11
6,r5,e11,e11
6,r18,e30,
6,r12,e26,e11
6,r17,e36,e18
6,r1,e4,e11
6,r15,e29,e35
6,r10,e34,e11
7,r2,e28,e36
7,r3,e15,e32
7,r6,e20,e10
7,r14,e4,e38
7,r17,e39,e27
7,r12,e7,e6
7,r8,e33,
7,r16,e9,e9
7,r9,e18,e38
7,r18,e34,e27
7,r10,e17,e17
7,r11,e21,e17
7,r13,e16,e16
7,r15,e35,e8
7,r1,e29,e5
7,r19,e32,e32
8,r9,e32,
8,r12,e28,
8,r15,e10,e34
8,r16,e4,e34
8,r1,e16,e13
8,r18,e2,e32
8,r6,e22,e30
8,r2,e39,e20
8,r17,e29,e29
8,r8,e37,e38
8,r13,e31,
8,r5,e15,e15
8,r4,e3,e3
8,r10,e19,e19
8,r7,e11,e11
8,r3,e26,e26
8,r19,e35,e13
9,r0,e28,e28
9,r17,e29,e29
9,r6,e12,e33
9,r13,e39,e39
9,r11,e8,
9,r14,e34,e14
9,r4,e4,e21
9,r7,e37,e38
9,r9,e2,
9,r15,e26,e14
9,r12,e35,
9,r16,e18,e38
9,r2,e23,
9,r1,e30,e30
9,r18,e31,
9,r3,e10,e10
9,r19,e6,
9,r10,e27,
9,r5,e36,e14
10,r16,e3,e4
10,r8,e35,
10,r5,e2,e2
10,r14,e12,e37
10,r3,e18,e18
10,r4,e25,e4
10,r18,e22,e10
10,r13,e7,e7
10,r10,e13,e10
10,r2,e20,e20
10,r19,e10,e10
10,r1,e34,e15
10,r0,e8,e8
10,r17,e19,e10
10,r7,e23,e26
10,r6,e11,e10
11,r8,e14,
11,r17,e38,
11,r10,e39,
11,r7,e1,e12
11,r19,e6,
11,r13,e2,e11
11,r5,e9,e4
11,r12,e29,e12
11,r4,e19,e4
11,r18,e21,e3
11,r14,e11,e11
11,r9,e8,
11,r2,e24,e24
11,r6,e30,e9
11,r0,e23,e23
11,r1,e12,e12
11,r16,e20,e10
12,r1,e39,e33
12,r13,e31,
12,r12,e18,e33
12,r6,e26,e33
12,r8,e36,e33
12,r9,e14,e33
12,r11,e8,e33
12,r3,e17,e33
12,r4,e28,e33
12,r19,e1,e33
12,r10,e5,e33
12,r15,e13,e6
12,r14,e2,
12,r7,e30,e30
12,r2,e20,e33
12,r16,e37,e33
12,r0,e21,e33
12,r18,e23,e33
13,r13,e34,
13,r1,e14,e11
13,r4,e5,e29
13,r15,e26,e15
13,r12,e6,e11
13,r6,e13,e13
13,r3,e29,e30
13,r0,e23,e11
13,r8,e19,e19
13,r14,e2,e13
13,r2,e11,e11
13,r9,e15,e15
13,r10,e38,e11
13,r7,e36,e36
13,r16,e17,
13,r18,e21,e11
13,r11,e1,e11
14,r3,e22,e37
14,r15,e4,e13
14,r14,e31,e13
14,r7,e6,e6
14,r1,e19,e19
14,r18,e32,e20
14,r17,e3,
14,r0,e2,e2
14,r6,e35,e13
14,r12,e17,e13
14,r16,e33,e13
14,r10,e1,
14,r2,e5,e5
14,r4,e38,e22
14,r13,e12,
14,r19,e20,e20
14,r8,e18,e29
14,r9,e8,
15,r17,e4,e20
15,r12,e15,e12
15,r10,e39,e20
15,r13,e35,e35
15,r19,e20,e20
15,r6,e22,e22
15,r9,e27,
15,r15,e2,e30
15,r16,e17,e20
15,r0,e37,e37
15,r5,e1,e17
15,r18,e23,e20
15,r2,e25,e26
15,r7,e19,
15,r8,e8,e20
15,r1,e32,e32
15,r3,e12,
15,r14,e38,e20
15,r4,e7,e11
15,r11,e33,e20
16,r4,e19,e19
16,r12,e7,
16,r16,e33,e33
16,r5,e15,e19
16,r3,e26,e36
16,r2,e16,e1
16,r6,e10,e10
16,r1,e20,e29
16,r9,e8,
16,r7,e13,e39
16,r17,e14,
16,r8,e6,
16,r11,e3,
16,r10,e2,
16,r14,e17,e18
16,r13,e18,
16,r15,e32,e32
16,r18,e21,
17,r12,e27,e31
17,r9,e6,e26
17,r15,e12,e7
17,r19,e24,e9
17,r6,e31,e31
17,r2,e16,e31
17,r18,e23,e19
17,r4,e32,e31
17,r5,e13,e31
17,r8,e11,e19
17,r0,e10,e31
17,r17,e35,e31
17,r10,e33,e31
17,r3,e36,e31
17,r13,e5,e31
17,r14,e29,e31
17,r7,e9,e31
18,r8,e24,e24
18,r3,e10,e19
18,r1,e16,e1
18,r18,e20,e19
18,r10,e37,e37
18,r17,e25,e19
18,r13,e38,
18,r9,e15,
18,r16,e22,e19
18,r14,e36,e36
18,r15,e30,e30
18,r11,e17,e19
18,r4,e26,
18,r0,e34,e34
18,r2,e39,e1
18,r19,e1,e1
19,r7,e6,
19,r6,e13,e23
19,r19,e38,e5
19,r11,e1,e7
19,r8,e33,
19,r9,e7,e7
19,r10,e30,e5
19,r3,e4,e5
19,r4,e20,e5
19,r12,e2,e5
19,r17,e35,
19,r16,e9,e5
19,r5,e5,e5
19,r2,e28,e5
19,r13,e25,e23
19,r1,e39,e5
19,r15,e15,e5
20,r9,e7,e7
20,r15,e1,e14
20,r11,e28,e5
20,r7,e3,e3
20,r4,e14,e18
20,r5,e32,e5
20,r19,e13,e5
20,r13,e31,e5
20,r1,e19,e5
20,r10,e34,e5
20,r2,e5,e5
20,r6,e8,e8
20,r12,e15,e5
20,r16,e38,e14
20,r17,e17,e5
20,r8,e25,e25
20,r0,e11,e5
21,r2,e27,e11
21,r16,e39,e24
21,r1,e7,e11
21,r6,e25,e18
21,r8,e28,e11
21,r5,e38,e20
21,r4,e3,e3
21,r19,e26,e26
21,r17,e37,e15
21,r11,e19,
21,r15,e30,e30
21,r10,e18,e11
21,r18,e12,e15
21,r13,e9,e9
21,r3,e33,e15
21,r12,e35,
21,r14,e5,
22,r8,e39,
22,r10,e38,
22,r0,e10,e10
22,r15,e13,e13
22,r9,e7,
22,r11,e12,
22,r5,e6,e6
22,r7,e35,e35
22,r18,e32,
22,r4,e26,e26
22,r1,e22,
22,r17,e14,
22,r6,e33,
22,r14,e36,e21
22,r3,e4,e4
22,r2,e19,
22,r16,e16,e16
22,r19,e24,
23,r2,e33,e16
23,r8,e18,e16
23,r10,e13,
23,r15,e17,e16
23,r14,e31,e31
23,r0,e11,e16
23,r13,e22,e16
23,r5,e10,e10
23,r18,e36,
23,r1,e3,e16
23,r19,e12,e16
23,r3,e16,e16
23,r4,e5,e5
23,r6,e29,e16
23,r16,e15,
23,r12,e38,e16
24,r13,e25,e23
24,r2,e33,e8
24,r3,e38,e8
24,r10,e28,e30
24,r18,e12,e12
24,r15,e11,e13
24,r11,e34,e30
24,r19,e29,e8
24,r6,e23,e13
24,r5,e24,e39
24,r16,e10,
24,r9,e30,e30
24,r0,e1,e8
24,r4,e16,e8
25,r11,e13,e6
25,r6,e39,e24
25,r13,e9,e6
25,r12,e25,e33
25,r14,e10,
25,r3,e21,e21
25,r0,e26,e19
25,r1,e38,e1
25,r8,e34,e33
25,r4,e4,e4
25,r15,e28,
25,r10,e15,e33
25,r19,e14,e27
25,r7,e32,e7
25,r18,e8,
25,r5,e16,e16
25,r2,e1,e1
25,r17,e2,e27
25,r9,e20,e33
26,r11,e8,e4
26,r17,e1,e16
26,r0,e37,e4
26,r7,e29,e3
26,r2,e11,e4
26,r16,e9,e16
26,r6,e3,e3
26,r12,e35,e14
26,r5,e14,e14
26,r13,e12,
26,r19,e5,
26,r8,e16,e16
26,r14,e17,
26,r18,e23,e4
26,r9,e22,e22
26,r3,e4,e4
26,r4,e19,e4
27,r2,e22,e6
27,r4,e27,e27
27,r9,e28,
27,r16,e23,
27,r17,e5,e31
27,r5,e30,e38
27,r6,e3,
27,r10,e26,e10
27,r18,e25,e19
27,r3,e24,e6
27,r1,e32,e17
27,r19,e13,
27,r7,e39,e39
27,r12,e8,
27,r13,e37,
27,r8,e20,e20
28,r3,e24,e7
28,r14,e30,e21
28,r4,e35,e4
28,r16,e34,e21
28,r12,e23,e23
28,r1,e33,e33
28,r17,e11,e21
28,r13,e10,e13
28,r11,e17,e21
28,r15,e16,e21
28,r8,e6,e21
28,r10,e3,e21
28,r7,e13,e7
28,r18,e1,e21
28,r9,e28,
28,r2,e19,e7
28,r19,e37,e21
28,r0,e26,e26
28,r6,e4,e4
28,r5,e36,e7
29,r14,e38,
29,r8,e19,e19
29,r2,e23,e35
29,r15,e39,e35
29,r6,e10,e31
29,r19,e36,e35
29,r0,e25,e35
29,r10,e15,e22
29,r12,e37,e35
29,r3,e30,e35
29,r1,e20,e35
29,r4,e14,e14
29,r11,e1,
29,r13,e28,e14
29,r18,e2,e35
29,r9,e33,e33
29,r17,e13,e35
30,r8,e7,e7
30,r13,e24,e20
30,r15,e11,e20
30,r18,e6,e20
30,r9,e3,e5
30,r4,e26,e20
30,r11,e39,e20
30,r14,e37,e20
30,r1,e8,e20
30,r12,e31,e20
30,r5,e34,e5
30,r6,e20,e20
30,r19,e29,e20
30,r3,e32,e5
30,r2,e15,e20
30,r10,e19,e20
30,r7,e1,e20
30,r17,e30,e20
31,r0,e16,e9
31,r9,e7,e15
31,r10,e10,e9
31,r3,e26,e9
31,r12,e23,e9
31,r11,e21,e9
31,r6,e37,e37
31,r13,e24,e37
31,r4,e17,e9
31,r5,e1,e9
31,r17,e14,e9
31,r1,e18,e9
31,r18,e36,e9
31,r15,e22,e37
31,r7,e15,e15
32,r11,e1,e16
32,r4,e14,e23
32,r0,e4,e4
32,r16,e30,e23
32,r2,e20,e23
32,r6,e39,e39
32,r5,e32,e32
32,r10,e9,e16
32,r8,e6,e8
32,r12,e5,e12
32,r3,e21,e21
32,r13,e16,
32,r7,e36,e36
32,r19,e35,e23
32,r14,e15,e32
32,r1,e34,e23
32,r17,e31,e31
32,r18,e27,e23
32,r9,e33,
33,r6,e22,e9
33,r8,e3,e3
33,r14,e18,e21
33,r9,e31,e9
33,r3,e21,e21
33,r17,e24,
33,r0,e5,e21
33,r19,e7,e21
33,r4,e28,e28
33,r2,e27,e21
33,r16,e19,e21
33,r10,e38,e21
33,r1,e10,e21
33,r18,e17,
33,r11,e6,e21
33,r12,e1,e12
33,r5,e9,e9
33,r7,e13,e21
33,r13,e34,e34
34,r15,e4,
34,r6,e9,e9
34,r16,e1,e20
34,r19,e31,
34,r4,e28,e28
34,r14,e10,
34,r10,e29,
34,r3,e11,e11
34,r9,e20,e20
34,r17,e24,e34
34,r0,e12,
34,r11,e3,
34,r12,e21,
34,r13,e30,e15
34,r8,e34,e34
34,r2,e22,
34,r1,e38,e11
34,r18,e39,
35,r9,e5,e38
35,r5,e14,e14
35,r18,e25,e14
35,r11,e4,e14
35,r12,e16,e14
35,r0,e22,e14
35,r19,e36,e14
35,r15,e28,e14
35,r10,e33,e14
35,r17,e12,e14
35,r3,e17,e14
