graph_id,rel_name,expected,predicted
0,r13,e9,e39
0,r3,e15,e17
0,r9,e17,e17
0,r2,e30,e17
0,r7,e7,e17
0,r16,e34,e22
0,r18,e13,e22
0,r6,e28,e28
0,r12,e6,e6
0,r0,e4,e17
0,r19,e21,e22
0,r15,e38,e22
0,r8,e8,e17
0,r1,e25,e17
0,r17,e5,e22
0,r4,e16,e23
0,r10,e39,e22
0,r14,e12,e39
1,r4,e7,e19
1,r2,e9,e2
1,r14,e18,07-09
1,r1,e25,07-09
1,r16,e12,07-09
1,r5,e22,e5
1,r11,e37,07-09
1,r15,e8,e30
1,r19,e10,07-09
1,r7,e28,e19
1,r18,e35,07-09
1,r13,e27,e27
1,r10,e19,e19
1,r3,e2,07-09
1,r17,e1,07-09
1,r8,e11,e5
1,r9,e16,07-09
1,r6,e38,07-09
2,r4,e3,e10
2,r1,e13,1995-12-24 to 2005-08-12
2,r13,e39,e33
2,r10,e21,e21
2,r2,e9,e9
2,r17,e34,2019-05-22
2,r8,e14,e14
2,r16,e23,e26
2,r3,e17,e35
2,r5,e7,e10
2,r6,e18,2026-07-01
2,r12,e5,2019-05-22
2,r19,e37,e33
2,r11,e29,2019-05-22
2,r15,e26,e26
2,r7,e20,e20
3,r9,e27,2029-08-08
3,r7,e8,e26
3,r0,e13,e20
3,r13,e17,e29
3,r11,e15,e15
3,r16,e7,e23
3,r17,e36,e23
3,r19,e9,e23
3,r10,e21,e15
3,r5,e26,e26
3,r14,e39,1993-05-14 to 2007-01-21
3,r2,e34,e14
3,r15,e3,Relation r11
3,r6,e25,e4
3,r4,e28,Relation r12
3,r12,e5,e20
4,r16,e17,e34
4,r11,e4,e14
4,r2,e1,e2
4,r15,e15,e14
4,r14,e5,2017-12-22 to 2019-12-12
4,r8,e22,e14
4,r19,e30,e34
4,r1,e2,e2
4,r13,e16,e3
4,r17,e34,e34
4,r4,e23,e14
4,r6,e18,2026-01-22
4,r5,e35,e35
4,r12,e9,e14
4,r0,e36,e36
4,r18,e32,e34
4,r9,e21,e21
4,r3,e38,e1
4,r10,e25,e34
5,r7,e17,e15
5,r15,e24,e30
5,r0,e7,e7
5,r19,e5,2006-11-24 to 2015-03-22
5,r17,e15,e15
5,r2,e8,Relation r12
5,r10,e27,e6
5,r3,e35,Relation r12
5,r14,e22,e14
5,r12,e2,e2
5,r8,e26,e26
5,r6,e16,Facts:
5,r18,e28,e19
5,r13,e23,e14
5,r9,e3,Relation r12
5,r4,e13,r15
5,r16,e25,e30
5,r1,e18,e15
6,r6,e35,e37
6,r2,e12,e30 in time interval
6,r7,e37,e37
6,r19,e39,e36
6,r11,e3,e30
6,r0,e19,e30 in time interval
6,r13,e8,e14
6,r16,e6,e6
6,r8,e22,e22
6,r9,e9,e9
6,r14,e16,e14
6,r5,e11,Relation r1
6,r18,e30,e14
6,r12,e26,e4
6,r17,e36,e36
6,r1,e4,e4
6,r15,e29,e6
6,r10,e34,e10
7,r2,e28,e32
7,r3,e15,e32
7,r6,e20,e10
7,r14,e4,e8
7,r17,e39,Relation r10
7,r12,e7,e32
7,r8,e33,e33
7,r16,e9,e34
7,r9,e18,e18
7,r18,e34,e32
7,r10,e17,2005-12-24
7,r11,e21,e8
7,r13,e16,e8
7,r15,e35,e8
7,r1,e29,e32
7,r19,e32,e32
8,r9,e32,e32
8,r12,e28,11-01
8,r15,e10,time interval
8,r16,e4,11-01
8,r1,e16,11-01
8,r18,e2,e2
8,r6,e22,e22
8,r2,e39,e2
8,r17,e29,e2
8,r8,e37,11-01
8,r13,e31,11-01
8,r5,e15,11-01
8,r4,e3,e3
8,r10,e19,11-01
8,r7,e11,11-01
8,r3,e26,11-01
8,r19,e35,11-01
9,r0,e28,r15
9,r17,e29,e26
9,r6,e12,e33
9,r13,e39,e26
9,r11,e8,e26
9,r14,e34,e26
9,r4,e4,r15
9,r7,e37,e22
9,r9,e2,e2
9,r15,e26,e26
9,r12,e35,1997-07-12 to 2005-09-14
9,r16,e18,e26
9,r2,e23,2015-06-24 to 2016-05-29
9,r1,e30,entity named e32 in time interval
9,r18,e31,e26
9,r3,e10,r15
9,r19,e6,e26
9,r10,e27,e26
9,r5,e36,e26
10,r16,e3,e4
10,r8,e35,e16
10,r5,e2,e19
10,r14,e12,e14
10,r3,e18,Relation r19
10,r4,e25,2018-12-09
10,r18,e22,e10
10,r13,e7,e14
10,r10,e13,e10 in time interval
10,r2,e20,e19
10,r19,e10,e10
10,r1,e34,Relation r19
10,r0,e8,entity named e33
10,r17,e19,e19
10,r7,e23,Relation r13
10,r6,e11,2026-03-17
11,r8,e14,e38
11,r17,e38,e38
11,r10,e39,e11
11,r7,e1,e22
11,r19,e6,e16
11,r13,e2,e33
11,r5,e9,e25
11,r12,e29,e11
11,r4,e19,e38
11,r18,e21,e16
11,r14,e11,e11
11,r9,e8,Relation r18
11,r2,e24,e16
11,r6,e30,e30
11,r0,e23,Relation r18
11,r1,e12,Relation r18
11,r16,e20,Relation r18
12,r1,e39,e19
12,r13,e31,2027-11-11
12,r12,e18,1993-07-13 to 1995-05-26
12,r6,e26,e19
12,r8,e36,e12
12,r9,e14,e19
12,r11,e8,e32
12,r3,e17,e19
12,r4,e28,e19
12,r19,e1,Relation r6
12,r10,e5,e20
12,r15,e13,e20
12,r14,e2,e2
12,r7,e30,e30
12,r2,e20,e20
12,r16,e37,e3
12,r0,e21,e19
12,r18,e23,e20
13,r13,e34,e26
13,r1,e14,e6
13,r4,e5,2024-12-23
13,r15,e26,e26
13,r12,e6,e8
13,r6,e13,2024-12-23
13,r3,e29,2024-12-23
13,r0,e23,e23
13,r8,e19,e8
13,r14,e2,e8
