graph_id,rel_name,expected,predicted
0,r13,e9,e24
0,r3,e15,e6
0,r9,e17,e6
0,r2,e30,e6
0,r7,e7,e6
0,r16,e34,e36
0,r18,e13,e6
0,r6,e28,
0,r12,e6,e6
0,r0,e4,e6
0,r19,e21,e6
0,r15,e38,e36
0,r8,e8,e6
0,r1,e25,e18
0,r17,e5,e5
0,r4,e16,e6
0,r10,e39,e6
0,r14,e12,e33
1,r4,e7,e33
1,r2,e9,
1,r14,e18,e13
1,r1,e25,
1,r16,e12,e12
1,r5,e22,e31
1,r11,e37,e13
1,r15,e8,e13
1,r19,e10,e13
1,r7,e28,
1,r18,e35,e13
1,r13,e27,
1,r10,e19,e13
1,r3,e2,
1,r17,e1,e13
1,r8,e11,e11
1,r9,e16,
1,r6,e38,
2,r4,e3,e14
2,r1,e13,
2,r13,e39,e33
2,r10,e21,e17
2,r2,e9,
2,r17,e34,
2,r8,e14,e14
2,r16,e23,
2,r3,e17,e17
2,r5,e7,e10
2,r6,e18,e14
2,r12,e5,e14
2,r19,e37,e14
2,r11,e29,e29
2,r15,e26,
2,r7,e20,e20
3,r9,e27,e3
3,r7,e8,e28
3,r0,e13,e3
3,r13,e17,e29
3,r11,e15,e3
3,r16,e7,e3
3,r17,e36,e3
3,r19,e9,e3
3,r10,e21,e3
3,r5,e26,e3
3,r14,e39,e3
3,r2,e34,e14
3,r15,e3,e3
3,r6,e25,e3
3,r4,e28,e18
3,r12,e5,e5
4,r16,e17,e16
4,r11,e4,e4
4,r2,e1,e14
4,r15,e15,e12
4,r14,e5,e16
4,r8,e22,e25
4,r19,e30,e14
4,r1,e2,e14
4,r13,e16,e16
4,r17,e34,e12
4,r4,e23,e14
4,r6,e18,
4,r5,e35,e4
4,r12,e9,e12
4,r0,e36,e14
4,r18,e32,
4,r9,e21,e14
4,r3,e38,e14
4,r10,e25,e25
5,r7,e17,
5,r15,e24,e15
5,r0,e7,e29
5,r19,e5,e20
5,r17,e15,e21
5,r2,e8,e29
5,r10,e27,e6
5,r3,e35,e33
5,r14,e22,e18
5,r12,e2,e2
5,r8,e26,
5,r6,e16,
5,r18,e28,e21
5,r13,e23,e23
5,r9,e3,e21
5,r4,e13,e29
5,r16,e25,e25
5,r1,e18,e29
6,r6,e35,e12
6,r2,e12,e12
6,r7,e37,e12
6,r19,e39,e39
6,r11,e3,e16
6,r0,e19,e39
6,r13,e8,e14
6,r16,e6,e16
6,r8,e22,e18
6,r9,e9,e23
6,r14,e16,e14
6,r5,e11,e11
6,r18,e30,e14
6,r12,e26,e26
6,r17,e36,e14
6,r1,e4,e12
6,r15,e29,e29
6,r10,e34,e12
7,r2,e28,e36
7,r3,e15,e23
7,r6,e20,
7,r14,e4,e16
7,r17,e39,e24
7,r12,e7,e16
7,r8,e33,
7,r16,e9,e30
7,r9,e18,e16
7,r18,e34,e34
7,r10,e17,e17
7,r11,e21,e16
7,r13,e16,e16
7,r15,e35,e35
7,r1,e29,e29
7,r19,e32,e32
8,r9,e32,
8,r12,e28,e6
8,r15,e10,e10
8,r16,e4,e33
8,r1,e16,
8,r18,e2,e33
8,r6,e22,
8,r2,e39,e39
8,r17,e29,e29
8,r8,e37,
8,r13,e31,e25
8,r5,e15,e15
8,r4,e3,e33
8,r10,e19,
8,r7,e11,
8,r3,e26,
8,r19,e35,e35
9,r0,e28,e28
9,r17,e29,e29
9,r6,e12,
9,r13,e39,e39
9,r11,e8,e29
9,r14,e34,e29
9,r4,e4,
9,r7,e37,e37
9,r9,e2,
9,r15,e26,e26
9,r12,e35,
9,r16,e18,e26
9,r2,e23,
9,r1,e30,
9,r18,e31,e31
9,r3,e10,
9,r19,e6,e31
9,r10,e27,
9,r5,e36,e36
10,r16,e3,
10,r8,e35,e16
10,r5,e2,e20
10,r14,e12,e14
10,r3,e18,e30
10,r4,e25,e13
10,r18,e22,e13
10,r13,e7,e14
10,r10,e13,e13
10,r2,e20,e16
10,r19,e10,e36
10,r1,e34,e15
10,r0,e8,e33
10,r17,e19,e13
10,r7,e23,
10,r6,e11,e11
11,r8,e14,e4
11,r17,e38,e31
11,r10,e39,e26
11,r7,e1,e26
11,r19,e6,e31
11,r13,e2,e5
11,r5,e9,e9
11,r12,e29,e12
11,r4,e19,e4
11,r18,e21,e31
11,r14,e11,e26
11,r9,e8,e26
11,r2,e24,e26
11,r6,e30,e30
11,r0,e23,e23
11,r1,e12,e12
11,r16,e20,e31
12,r1,e39,e11
12,r13,e31,
12,r12,e18,e11
12,r6,e26,e28
12,r8,e36,e36
12,r9,e14,e36
12,r11,e8,e32
12,r3,e17,e11
12,r4,e28,e28
12,r19,e1,e24
12,r10,e5,e5
12,r15,e13,e13
12,r14,e2,e11
12,r7,e30,e11
12,r2,e20,e11
12,r16,e37,e3
12,r0,e21,e21
12,r18,e23,e24
13,r13,e34,e8
13,r1,e14,
13,r4,e5,
13,r15,e26,e8
13,r12,e6,e6
13,r6,e13,
13,r3,e29,e30
13,r0,e23,
13,r8,e19,
13,r14,e2,e2
13,r2,e11,e32
13,r9,e15,
13,r10,e38,e38
13,r7,e36,
13,r16,e17,e17
13,r18,e21,e18
13,r11,e1,e2
14,r3,e22,e37
14,r15,e4,e4
14,r14,e31,e12
14,r7,e6,e6
14,r1,e19,
14,r18,e32,e30
14,r17,e3,e35
14,r0,e2,e2
14,r6,e35,e35
14,r12,e17,e12
14,r16,e33,e12
14,r10,e1,e12
14,r2,e5,
14,r4,e38,
14,r13,e12,e27
14,r19,e20,e35
14,r8,e18,e12
14,r9,e8,e2
15,r17,e4,e2
15,r12,e15,e27
15,r10,e39,e27
15,r13,e35,e35
15,r19,e20,e27
15,r6,e22,e27
15,r9,e27,e27
15,r15,e2,e2
15,r16,e17,e2
15,r0,e37,
15,r5,e1,
15,r18,e23,e34
15,r2,e25,
15,r7,e19,e19
15,r8,e8,e27
15,r1,e32,e27
15,r3,e12,e27
15,r14,e38,e2
15,r4,e7,e27
15,r11,e33,e27
16,r4,e19,
16,r12,e7,e7
16,r16,e33,e33
16,r5,e15,e15
16,r3,e26,e18
16,r2,e16,e1
16,r6,e10,e35
16,r1,e20,
16,r9,e8,
16,r7,e13,
16,r17,e14,
16,r8,e6,
16,r11,e3,e32
16,r10,e2,
16,r14,e17,
16,r13,e18,e18
16,r15,e32,e32
16,r18,e21,e21
17,r12,e27,e8
17,r9,e6,e8
17,r15,e12,e23
17,r19,e24,e24
17,r6,e31,e8
17,r2,e16,e16
17,r18,e23,e23
17,r4,e32,e8
17,r5,e13,e8
17,r8,e11,e19
17,r0,e10,e8
17,r17,e35,e23
17,r10,e33,e33
17,r3,e36,e8
17,r13,e5,e16
17,r14,e29,e23
17,r7,e9,e8
18,r8,e24,e20
18,r3,e10,
18,r1,e16,e20
18,r18,e20,e20
18,r10,e37,e20
18,r17,e25,e20
18,r13,e38,e32
18,r9,e15,e15
18,r16,e22,e20
18,r14,e36,e32
18,r15,e30,
18,r11,e17,e32
18,r4,e26,e26
18,r0,e34,e34
18,r2,e39,e20
18,r19,e1,e20
19,r7,e6,e17
19,r6,e13,e23
19,r19,e38,e38
19,r11,e1,e24
19,r8,e33,e20
19,r9,e7,e38
19,r10,e30,e17
19,r3,e4,e20
19,r4,e20,e20
19,r12,e2,e24
19,r17,e35,e35
19,r16,e9,e9
19,r5,e5,e20
19,r2,e28,e20
19,r13,e25,e36
19,r1,e39,e39
19,r15,e15,e36
20,r9,e7,e21
20,r15,e1,e16
20,r11,e28,e4
20,r7,e3,e3
20,r4,e14,e18
20,r5,e32,e21
20,r19,e13,e21
20,r13,e31,e16
20,r1,e19,e21
20,r10,e34,e16
20,r2,e5,e21
20,r6,e8,e21
20,r12,e15,e16
20,r16,e38,
20,r17,e17,e16
20,r8,e25,e21
20,r0,e11,e21
21,r2,e27,e33
21,r16,e39,e14
21,r1,e7,e33
21,r6,e25,e4
21,r8,e28,e28
21,r5,e38,e28
21,r4,e3,e3
21,r19,e26,e28
21,r17,e37,
21,r11,e19,e22
21,r15,e30,e30
21,r10,e18,e18
21,r18,e12,e14
21,r13,e9,e16
21,r3,e33,e33
21,r12,e35,e33
21,r14,e5,e14
22,r8,e39,e39
22,r10,e38,e11
22,r0,e10,e11
22,r15,e13,e21
22,r9,e7,e39
22,r11,e12,e21
22,r5,e6,e6
22,r7,e35,
22,r18,e32,e34
22,r4,e26,e26
22,r1,e22,e39
22,r17,e14,e26
22,r6,e33,
22,r14,e36,e21
22,r3,e4,e26
22,r2,e19,e26
22,r16,e16,e21
22,r19,e24,e26
23,r2,e33,
23,r8,e18,
23,r10,e13,e31
23,r15,e17,e31
23,r14,e31,e31
23,r0,e11,e11
23,r13,e22,e31
23,r5,e10,e32
23,r18,e36,e36
23,r1,e3,e3
23,r19,e12,
23,r3,e16,e3
23,r4,e5,e31
23,r6,e29,e29
23,r16,e15,e31
23,r12,e38,e31
24,r13,e25,e21
24,r2,e33,
24,r3,e38,e26
24,r10,e28,e37
24,r18,e12,
24,r15,e11,e21
24,r11,e34,
24,r19,e29,
24,r6,e23,
24,r5,e24,
24,r16,e10,e21
24,r9,e30,e32
24,r0,e1,e32
24,r4,e16,
25,r11,e13,e6
25,r6,e39,e7
25,r13,e9,
25,r12,e25,
25,r14,e10,e30
25,r3,e21,e21
25,r0,e26,e7
25,r1,e38,e1
25,r8,e34,e7
25,r4,e4,e7
25,r15,e28,e25
25,r10,e15,e6
25,r19,e14,e8
25,r7,e32,e7
25,r18,e8,e8
25,r5,e16,e7
25,r2,e1,e7
25,r17,e2,e7
25,r9,e20,e7
26,r11,e8,e37
26,r17,e1,e9
26,r0,e37,e37
26,r7,e29,e9
26,r2,e11,e33
26,r16,e9,e9
26,r6,e3,e3
26,r12,e35,e12
26,r5,e14,e14
26,r13,e12,e12
26,r19,e5,e9
26,r8,e16,e9
26,r14,e17,e9
26,r18,e23,e9
26,r9,e22,e9
26,r3,e4,e9
26,r4,e19,e12
27,r2,e22,e32
27,r4,e27,e27
27,r9,e28,e29
27,r16,e23,
27,r17,e5,e12
27,r5,e30,e30
27,r6,e3,
27,r10,e26,e26
27,r18,e25,e25
27,r3,e24,e24
27,r1,e32,e32
27,r19,e13,e31
27,r7,e39,e32
27,r12,e8,e12
27,r13,e37,e37
27,r8,e20,e32
28,r3,e24,e13
28,r14,e30,e23
28,r4,e35,e23
28,r16,e34,e1
28,r12,e23,e23
28,r1,e33,e23
28,r17,e11,e1
28,r13,e10,e23
28,r11,e17,e23
28,r15,e16,e25
28,r8,e6,e8
28,r10,e3,e23
28,r7,e13,e13
28,r18,e1,e1
28,r9,e28,e13
28,r2,e19,e19
28,r19,e37,e23
28,r0,e26,e13
28,r6,e4,e23
28,r5,e36,
29,r14,e38,e23
29,r8,e19,e22
29,r2,e23,e23
29,r15,e39,e23
29,r6,e10,e10
29,r19,e36,e36
29,r0,e25,e22
29,r10,e15,e3
29,r12,e37,e22
29,r3,e30,e3
29,r1,e20,e23
29,r4,e14,e34
29,r11,e1,e29
29,r13,e28,e28
29,r18,e2,e22
29,r9,e33,e22
29,r17,e13,e22
30,r8,e7,e3
30,r13,e24,e31
30,r15,e11,e31
30,r18,e6,e31
30,r9,e3,e3
30,r4,e26,e32
30,r11,e39,e31
30,r14,e37,e31
30,r1,e8,e32
30,r12,e31,e31
30,r5,e34,e32
30,r6,e20,e32
30,r19,e29,e32
30,r3,e32,e37
30,r2,e15,e32
30,r10,e19,e31
30,r7,e1,e32
30,r17,e30,e32
31,r0,e16,e24
31,r9,e7,e24
31,r10,e10,e24
31,r3,e26,e24
31,r12,e23,e23
31,r11,e21,e24
31,r6,e37,e24
31,r13,e24,e30
31,r4,e17,
31,r5,e1,e24
31,r17,e14,e24
31,r1,e18,e24
31,r18,e36,e36
31,r15,e22,e24
31,r7,e15,e24
32,r11,e1,e1
32,r4,e14,e21
32,r0,e4,e21
32,r16,e30,e21
32,r2,e20,e21
32,r6,e39,e39
32,r5,e32,e33
32,r10,e9,e2
32,r8,e6,e21
32,r12,e5,e21
32,r3,e21,e21
32,r13,e16,e16
32,r7,e36,e21
32,r19,e35,e21
32,r14,e15,e21
32,r1,e34,e21
32,r17,e31,
32,r18,e27,
32,r9,e33,e33
33,r6,e22,
33,r8,e3,e37
33,r14,e18,e26
33,r9,e31,e26
33,r3,e21,e26
33,r17,e24,e26
33,r0,e5,e26
33,r19,e7,e26
33,r4,e28,e26
33,r2,e27,e26
33,r16,e19,e26
33,r10,e38,
33,r1,e10,e29
33,r18,e17,e26
33,r11,e6,e32
33,r12,e1,e1
33,r5,e9,e9
33,r7,e13,e26
33,r13,e34,e34
34,r15,e4,e14
34,r6,e9,e1
34,r16,e1,e1
34,r19,e31,e1
34,r4,e28,e1
34,r14,e10,e14
34,r10,e29,e1
34,r3,e11,
34,r9,e20,e20
34,r17,e24,e18
34,r0,e12,e1
34,r11,e3,e1
34,r12,e21,e13
34,r13,e30,e25
34,r8,e34,e34
34,r2,e22,
34,r1,e38,
34,r18,e39,e39
35,r9,e5,e22
35,r5,e14,e26
35,r18,e25,e20
35,r11,e4,e31
35,r12,e16,e31
35,r0,e22,e22
35,r19,e36,e20
35,r15,e28,e31
35,r10,e33,e19
35,r17,e12,e20
35,r3,e17,
35,r16,e7,e31
35,r14,e31,e31
35,r4,e1,
35,r2,e6,e6
35,r13,e37,e31
35,r8,e9,e26
35,r6,e26,e26
35,r7,e29,e26
35,r1,e13,e13
36,r6,e5,e14
36,r9,e24,
36,r18,e8,
36,r19,e25,
36,r2,e39,e6
36,r5,e35,
36,r7,e36,e36
36,r17,e22,
36,r4,e28,
36,r16,e2,e20
36,r11,e26,e26
36,r1,e3,
36,r13,e21,e21
36,r12,e4,e4
36,r10,e34,
36,r3,e27,e32
36,r8,e13,
36,r0,e9,e9
36,r15,e15,e15
37,r7,e3,e15
37,r11,e4,e39
37,r0,e15,e15
37,r16,e33,e34
37,r13,e31,e39
37,r3,e21,
37,r8,e9,e8
37,r14,e39,e39
37,r9,e2,
37,r18,e30,e28
37,r2,e16,e15
37,r15,e12,e34
37,r17,e7,e24
37,r10,e10,e39
37,r4,e8,e8
37,r12,e38,e39
37,r5,e14,e5
38,r4,e7,e24
38,r18,e30,e2
38,r2,e12,
38,r14,e25,e1
38,r6,e38,
38,r7,e10,e39
38,r0,e9,e9
38,r16,e11,
38,r3,e8,
38,r19,e37,
38,r5,e27,e27
38,r17,e15,
38,r8,e4,
38,r15,e28,e28
38,r11,e21,
38,r12,e17,e17
38,r10,e20,
38,r9,e36,
38,r13,e22,e22
39,r1,e13,e17
39,r9,e17,e17
39,r18,e12,e12
39,r6,e29,e17
39,r11,e34,e11
39,r14,e26,e11
39,r2,e1,e17
